dm	epochs	min_count	vector_size	window	workers	AUC
0	15	1	256	5	16	0.7823
0	15	1	256	7	16	0.7825
0	15	1	256	9	16	0.7828
0	15	1	512	5	16	0.7823
0	15	1	512	7	16	0.7819
0	15	1	512	9	16	0.7816
0	15	3	256	5	16	0.775
0	15	3	256	7	16	0.7754
0	15	3	256	9	16	0.7747
0	15	3	512	5	16	0.7748
0	15	3	512	7	16	0.7751
0	15	3	512	9	16	0.7753
0	15	5	256	5	16	0.7719
0	15	5	256	7	16	0.7718
0	15	5	256	9	16	0.7713
0	15	5	512	5	16	0.7706
0	15	5	512	7	16	0.7716
0	15	5	512	9	16	0.7709
1	15	1	256	5	16	0.7309
1	15	1	256	7	16	0.7233
1	15	1	256	9	16	0.7138
1	15	1	512	5	16	0.7295
1	15	1	512	7	16	0.7229
1	15	1	512	9	16	0.7138
1	15	3	256	5	16	0.7402
1	15	3	256	7	16	0.7347
1	15	3	256	9	16	0.7271
1	15	3	512	5	16	0.742
1	15	3	512	7	16	0.7333
1	15	3	512	9	16	0.7265
1	15	5	256	5	16	0.7449
1	15	5	256	7	16	0.738
1	15	5	256	9	16	0.7289
1	15	5	512	5	16	0.7431
1	15	5	512	7	16	0.7371
1	15	5	512	9	16	0.7282
0	15	0	256	5	16	0.7828
0	15	0	256	7	16	0.7823
0	15	0	256	9	16	0.7817
0	15	0	512	5	16	0.7812
0	15	0	512	7	16	0.7822
0	15	0	512	9	16	0.7818
