PMID1	PMID2	relevance
7963640	10970674	C
11741523	11342419	B
9325332	10398760	A
9713365	7487082	A
8025213	10755396	A
12693446	11403571	A
8273924	11001403	A
9740717	11139194	A
9462346	11672589	C
9990005	8025213	A
8139849	8273924	A
11114264	10648858	A
8534917	12823867	C
11158302	9454388	A
7854378	11990295	C
12023811	9889302	B
14562038	11257031	A
10806719	10975831	B
12693446	9166661	A
9808485	7856079	C
7551342	11672589	A
9839869	7553864	C
8139849	10613599	B
7963640	7553864	A
10402249	12023811	A
9325332	10398760	C
11934741	11275982	A
11158302	12055189	A
9808485	14518291	B
7487082	10953966	C
9462346	10953966	A
10953966	7969072	C
7487082	8109990	B
9537061	7969072	A
11013229	10564744	B
11158302	10632361	B
11891309	12023811	B
8873134	9631259	A
7981461	7487082	A
8534917	9160881	B
9808485	9839869	B
7753843	11891309	B
8938265	10827797	A
11034064	7472445	A
12777642	12271119	C
10648858	9990005	A
12664842	12769826	C
7753843	8873134	B
10970674	12271119	A
11371747	11990295	A
10648858	8273924	C
12496047	9160881	C
12693446	12496047	B
14518291	10402249	B
12065687	9622447	C
8159245	10953966	B
11034064	9631259	C
8136716	12044926	B
9626349	11331070	B
12441075	8873134	C
11001403	10613599	B
8960360	10402249	A
8534917	9646714	A
11254127	11741523	A
12819206	12913112	C
8136716	10488185	A
12163012	11034064	A
12823867	7619574	A
9160881	11371747	A
12819206	9712537	A
8136716	8858183	B
7487082	7703349	A
11378394	7651139	A
10953966	12441075	B
10853862	10981425	A
11013229	10744039	C
8163187	10385845	C
12044926	10827797	B
11114264	8159245	A
9454388	9454388	A
9160881	9793009	A
12477518	12441075	B
10755396	7703349	B
9166661	12707770	B
10603087	10821866	B
12044926	12913112	A
12417439	10488185	C
11114264	9325332	B
11121808	8275421	B
8159245	10564744	C
8025213	7619574	B
9005444	14562038	B
12354289	8534917	A
10366440	10613599	B
8139849	9713365	C
8299936	11990295	A
12777642	9530504	B
11072645	10603087	A
12777642	14562038	C
11139194	7703349	A
12664842	12769826	A
11990295	7553864	C
12823867	8534917	A
9595262	10662772	C
7820367	7753843	C
9808485	7854061	C
12354289	10821866	C
9224643	10975831	A
9462346	12044926	B
11939136	7856079	B
9839869	9415705	B
9462346	8299936	B
11072645	11403571	A
12913112	8299936	C
11891309	12417439	B
12231540	10655498	A
12194796	12231540	B
11040166	10953966	C
10970674	12823867	B
7963640	7553864	B
9530504	10975831	A
8025213	12194796	A
12477518	10613599	C
12657676	8873134	B
10477825	9889302	B
8139849	12664842	C
10402249	10822467	A
10386412	10477825	B
8136716	9690867	A
10975831	12163012	A
10477825	9690867	B
11257031	11158302	A
10779687	7703349	C
10385845	11371747	C
11990295	8273924	B
10975831	7854061	A
12231540	7651139	C
7820367	7753843	C
9811875	9839869	C
12271119	8960360	B
11891309	10385845	B
7963640	10477825	B
9003241	8534917	C
7651139	10564744	A
9624526	12194796	B
9005444	9793009	B
8960360	12417439	B
12819206	7703349	B
8938265	7619574	B
12044926	9005444	B
